time_from_commit_(minutes),adopt_activity,non_adopt_activity_all,non_adopt_activity_closest
-360,0.0,0.00011511818495776868,0.0001065619742007852
-355,0.014913232104121476,0.20390536919741917,0.02367358384744812
-350,0.018275488069414317,0.16623157271540653,0.02144139091418957
-345,0.021095444685466376,0.11796142139894786,0.017005047672462144
-340,0.0188177874186551,0.12463035794446431,0.016842400448681998
-335,0.022288503253796096,0.16839597731989028,0.023611890072910823
-330,0.039533622559652926,0.14067564020024473,0.019461581604038138
-325,0.048752711496746204,0.1806849958368635,0.02024116657319125
-320,0.041160520607375274,0.11089200756978203,0.01567021873247336
-315,0.022288503253796096,0.13858341287045672,0.021643297812675266
-310,0.02066160520607375,0.14143304476635576,0.02081323611890073
-305,0.020553145336225598,0.1223925578834334,0.017952888390353337
-300,0.017245119305856833,0.14417060393192557,0.02182277061132922
-295,0.01898047722342733,0.13471324912854316,0.02554122265844083
-290,0.02158351409978308,0.1078249302134072,0.019758833426808748
-285,0.024349240780911063,0.17630075935365708,0.02047111609646663
-280,0.0210412147505423,0.1312901581260952,0.023466068424004487
-275,0.01957700650759219,0.17514470477667377,0.025956253505328097
-270,0.0188177874186551,0.34543769578466443,0.04047111609646663
-265,0.016052060737527116,0.39956121089712393,0.038631519910263604
-260,0.019793926247288502,0.3100616948198644,0.01987100392596747
-255,0.018926247288503253,0.22198410150865733,0.02394840157038699
-250,0.01984815618221258,0.18277174134832022,0.019910263600673023
-245,0.023427331887201735,0.23777935193943686,0.021205832865956252
-240,0.024349240780911063,0.21549697860446304,0.02232192933258553
-235,0.01898047722342733,0.19940357816555213,0.026017947279865394
-230,0.02044468546637744,0.21469176040068438,0.025647784632641616
-225,0.019522776572668113,0.2306420244720552,0.022355580482333146
-220,0.024023861171366595,0.204347873754942,0.02799214806505889
-215,0.020878524945770065,0.20757910111579367,0.026685361749859787
-210,0.021475054229934926,0.2573007161082013,0.03173864273696018
-205,0.023698481561822127,0.23283475180458413,0.030409422321929332
-200,0.02245119305856833,0.26039032982882715,0.0276668536174986
-195,0.020824295010845987,0.22899991533636133,0.02413348289399888
-190,0.0267353579175705,0.17834151850022323,0.026517106001121706
-185,0.024891540130151844,0.18192997768899938,0.025277621985417834
-180,0.036171366594360085,0.29572491261067946,0.024851374088614694
-175,0.04398047722342733,0.26134051167292305,0.03316881660123388
-170,0.02532537960954447,0.2877062305738063,0.028508132361189008
-165,0.02700650759219089,0.23353490182367914,0.029377453729669097
-160,0.02776572668112798,0.2165190331777918,0.030633763320246775
-155,0.040401301518438175,0.41285583853243196,0.03574312955692653
-150,0.054609544468546635,0.31579324043072476,0.03186203028603477
-145,0.03015184381778742,0.4574918488406868,0.029938306225462702
-140,0.02668112798264642,0.315088522229687,0.031233875490745935
-135,0.026626898047722343,0.5687085018738682,0.03523275378575435
-130,0.0329175704989154,0.46611505362131966,0.031189007291082444
-125,0.02781995661605206,0.5923129070630793,0.03431295569265283
-120,0.028958785249457702,0.4829116495339541,0.03421761076836792
-115,0.027494577006507592,0.3295946317162172,0.03227145260796411
-110,0.032429501084598696,0.5132398094519948,0.03277061132922041
-105,0.02668112798264642,0.33037579082843066,0.03407739764441952
-100,0.03524945770065076,0.3808974467517485,0.03825014021312395
-95,0.0443058568329718,0.4047759428575257,0.04099270891755468
-90,0.02613882863340564,0.7767066575465452,0.04413348289399888
-85,0.026518438177874186,0.6335465354603601,0.05393157599551318
-80,0.04088937093275488,0.39106865612005426,0.03832305103757712
-75,0.02836225596529284,0.39480725622201607,0.052692091979809313
-70,0.032483731019522774,0.5498078013583946,0.04777902411665732
-65,0.03004338394793926,0.5858394887047134,0.05395401009534492
-60,0.0363882863340564,0.4377813619394917,0.04613572630398205
-55,0.030856832971800432,0.8746615738544066,0.051374088614694335
-50,0.03562906724511931,0.667940072762002,0.0538418395961862
-45,0.02982646420824295,0.6584117588657752,0.054582164890633764
-40,0.03237527114967462,0.7428884066242293,0.056203028603477284
-35,0.03394793926247289,0.638545953778526,0.0608244531688166
-30,0.05368763557483731,0.7004624827398859,0.07045429052159283
-25,0.03600867678958785,0.9437364439200848,0.0955524397083567
-20,0.03747288503253796,1.1978863326696272,0.09858665171060012
-15,0.041919739696312366,1.4611972534871978,0.11856421761076837
-10,0.04376355748373102,2.5698953155425994,0.15694335389792485
-5,0.0425704989154013,4.0399600192716365,0.23090858104318565
0,3.752603036876356,35.46705092182866,4.158956814357824
5,0.29387201735357915,4.0420227056915286,0.24943353897924847
10,0.20715835140997832,2.5708537201141923,0.15978126752664049
15,0.1455531453362256,1.4565687715427846,0.10805384183959618
20,0.14967462039045554,1.1963526417187085,0.09762198541783511
25,0.14322125813449024,0.947320944017844,0.09266404935501962
30,0.15352494577006506,0.6994891554406133,0.06928771733034211
35,0.12988069414316702,0.6387981174217668,0.06568143578238923
40,0.11475054229934924,0.7473402522001887,0.06455412226584409
45,0.10900216919739697,0.6617629771389902,0.05673022994952327
50,0.11350325379609544,0.6670437954648308,0.0595176668536175
55,0.09387201735357918,0.8887343151472995,0.05179472798653954
60,0.08145336225596529,0.4484766940493644,0.04683679192372406
65,0.07819956616052061,0.5976007299345654,0.04641054402692092
70,0.08156182212581345,0.5525822105249694,0.044694335389792485
75,0.07792841648590022,0.3907921288397853,0.0467807066741447
80,0.06073752711496746,0.39056341519718407,0.03651149747616377
85,0.09072668112798264,0.629329494436259,0.042619181155356144
90,0.07147505422993493,0.7619106207793805,0.04011777902411666
95,0.06898047722342733,0.39564231988115417,0.03927650028042625
100,0.056127982646420826,0.3853413741456738,0.04028603477285474
105,0.05878524945770065,0.33455354548782396,0.03667975322490185
110,0.05905639913232104,0.5212189005786972,0.04
115,0.05086767895878525,0.328317672590482,0.041172181716208636
120,0.0718004338394794,0.47590405843374706,0.04122265844083006
125,0.06323210412147505,0.5938435525593696,0.037010656197420076
130,0.05726681127982646,0.4708026173855259,0.031037577117218173
135,0.05406724511930586,0.5672847518350387,0.03344924284913068
140,0.04696312364425163,0.3113721539465133,0.0384296130117779
145,0.05238611713665944,0.45409007602063844,0.02795288839035334
150,0.04859002169197397,0.3147492585840707,0.035378575434660685
155,0.055314533622559656,0.41019228391433504,0.0332192933258553
160,0.0447939262472885,0.22400536974560098,0.029955131800336512
165,0.0504880694143167,0.2335388609146962,0.025995513180033653
170,0.054663774403470713,0.29316886254096897,0.03524397083567022
175,0.04712581344902386,0.2678312891226715,0.03310712282669658
180,0.04468546637744035,0.28920977152390287,0.02601233875490746
185,0.05911062906724512,0.19053247337815837,0.024357823892316322
190,0.04392624728850325,0.19269992343727063,0.027425687044307347
195,0.05059652928416486,0.23930573379924727,0.0306842400448682
200,0.03459869848156182,0.2568880570060379,0.027784632641615254
205,0.04251626898047722,0.23186081541438588,0.029579360628154795
210,0.039913232104121475,0.24806232949260898,0.03291082445316881
215,0.04864425162689805,0.19322069617874627,0.02444195176668536
220,0.03524945770065076,0.21034437391848293,0.022658440830061695
225,0.04099783080260304,0.2277689425755166,0.026449803701626473
230,0.04972885032537961,0.21582314679517672,0.026831183398766126
235,0.060032537960954445,0.20556361924264416,0.021772293886707796
240,0.035737527114967464,0.21320984217845024,0.02383062254627033
245,0.029121475054229934,0.23017576536842996,0.026034772854739204
250,0.03264642082429501,0.1849885277724144,0.025602916432978125
255,0.029446854663774405,0.2207068378374592,0.023028603477285473
260,0.03177874186550976,0.31693437228002835,0.02619742007851935
265,0.027331887201735357,0.40661509290768433,0.031402131239484016
270,0.03926247288503254,0.3546547642178572,0.03452047111609647
275,0.025704989154013015,0.17112135466694603,0.021031968592260235
280,0.03801518438177874,0.13382336728609184,0.0184913067863152
285,0.03351409978308026,0.16931235461760968,0.021458216489063375
290,0.028470715835141,0.1103218984633245,0.021704991587212563
295,0.03237527114967462,0.12814511713123047,0.021873247335950644
300,0.031941431670281996,0.1406333083809084,0.027801458216489064
305,0.035303687635574836,0.1273115761994066,0.020975883342680874
310,0.03758134490238612,0.14412614029434928,0.017274256870443074
315,0.030585683297180043,0.1312703626710099,0.022944475602916434
320,0.03270065075921909,0.10026915728006792,0.019719573752103196
325,0.03226681127982647,0.18667479600022172,0.02149186763881099
330,0.028253796095444685,0.1439016902882279,0.019321368480089737
335,0.028850325379609545,0.17975430490239014,0.01985417835109366
340,0.02700650759219089,0.12749003984063745,0.018154795288839034
345,0.03541214750542299,0.10822753931529652,0.017655636567582726
350,0.027277657266811278,0.1676833409368184,0.019108244531688166
355,0.03036876355748373,0.224986006135982,0.022260235558048232
