number of unique repos user adopted from (source repo),number of users
1,20858
2,7393
3,3736
4,2280
5,1424
6,930
7,663
8,558
9,414
10,293
11,243
12,201
13,178
14,145
15,125
16,100
17,83
18,109
19,94
20,95
21,62
22,48
23,44
24,57
25,60
26,45
27,41
28,38
29,26
30,32
31,25
32,36
33,26
34,22
35,17
36,15
37,18
38,22
39,9
40,6
41,6
42,11
43,14
44,11
45,14
46,9
47,19
48,20
49,9
50,8
51,18
52,14
53,4
54,10
55,17
56,7
57,2
58,5
59,6
60,1
61,4
62,4
63,3
64,2
65,4
66,1
67,2
68,3
69,2
70,3
71,4
72,3
73,4
74,3
75,3
77,2
78,2
79,1
80,1
81,2
83,2
84,3
85,1
86,2
88,1
90,3
91,2
93,3
94,1
98,2
102,2
103,2
105,1
108,1
109,1
110,2
111,1
112,2
113,1
114,2
115,2
117,1
121,2
124,2
127,1
132,1
177,1
180,1
207,1
247,1
449,1
469,1
