number of unique committing users,number of repos
1,181851
2,41431
3,12404
4,5246
5,2941
6,1861
7,1237
8,956
9,650
10,558
11,438
12,423
13,330
14,301
15,249
16,186
17,150
18,174
19,133
20,143
21,136
22,118
23,112
24,89
25,98
26,96
27,69
28,92
29,76
30,75
31,63
32,69
33,69
34,47
35,53
36,50
37,41
38,43
39,41
40,50
41,38
42,48
43,38
44,36
45,31
46,26
47,35
48,23
49,42
50,37
51,51
52,30
53,36
54,43
55,35
56,31
57,29
58,22
59,39
60,18
61,39
62,43
63,32
64,33
65,29
66,22
67,24
68,38
69,28
70,19
71,14
72,32
73,35
74,19
75,18
76,16
77,12
78,16
79,17
80,11
81,11
82,17
83,27
84,47
85,19
86,22
87,19
88,15
89,17
90,11
91,12
92,9
93,15
94,12
95,5
96,9
97,36
98,14
99,11
100,11
101,8
102,13
103,8
104,7
105,3
106,5
107,6
108,4
109,2
110,8
111,4
112,7
113,8
114,8
115,9
116,5
117,8
118,3
119,4
120,6
121,3
122,2
123,3
124,3
125,6
126,6
127,7
128,6
129,5
130,5
131,10
132,1
133,5
134,7
135,3
136,4
137,4
138,6
139,7
140,10
141,5
142,3
143,3
144,2
145,6
146,5
147,4
148,5
149,3
150,4
151,2
152,4
153,4
154,5
155,1
156,2
157,3
158,7
159,3
160,3
161,4
162,4
163,3
164,2
165,2
166,2
167,5
168,1
169,1
170,2
172,7
173,5
174,3
175,4
176,6
177,4
178,2
179,5
181,5
182,3
183,2
184,5
185,5
186,4
187,4
188,3
189,3
190,1
191,1
192,5
193,3
194,2
195,1
196,2
197,2
199,1
200,1
201,1
202,1
204,2
205,1
206,2
207,1
209,3
210,2
211,1
212,4
213,1
214,3
215,3
216,2
217,2
218,5
219,2
221,1
222,5
223,2
224,2
225,3
226,5
227,2
228,5
229,1
230,4
231,1
232,1
234,1
237,1
238,3
239,5
240,2
241,1
242,2
243,2
245,3
247,1
248,2
249,5
250,2
252,1
253,1
254,2
255,1
256,4
257,1
261,2
264,1
267,3
268,1
269,2
271,1
272,1
273,1
274,3
276,3
277,1
278,1
279,1
280,2
281,2
284,1
285,1
286,2
288,1
289,1
290,1
294,2
295,2
296,2
298,1
300,5
301,1
302,1
304,1
305,1
306,1
308,2
309,1
311,1
312,1
313,1
314,2
315,2
318,1
320,2
321,1
322,2
323,1
324,2
325,1
326,1
327,1
330,1
334,1
335,1
336,2
340,2
344,1
345,1
346,1
347,1
348,1
349,1
351,1
352,2
354,1
355,1
356,3
357,1
358,1
359,2
362,1
364,1
365,1
366,1
367,1
368,2
369,1
370,1
372,2
373,2
374,1
375,1
380,1
381,1
383,2
384,2
386,1
389,1
391,2
392,1
393,2
396,1
399,3
400,1
401,2
404,1
405,1
406,1
407,2
410,1
411,1
414,1
420,2
424,1
425,2
427,1
428,2
429,2
430,2
431,1
432,1
436,1
437,1
438,1
440,2
441,2
444,1
445,1
447,1
452,1
454,1
456,1
462,1
463,1
465,1
467,1
469,1
471,1
476,1
480,1
482,1
485,1
486,1
490,1
499,1
500,1
505,1
508,1
509,1
514,1
517,1
521,1
525,1
528,1
531,1
532,1
533,1
536,1
537,1
545,1
547,1
549,1
550,1
551,1
558,2
566,2
567,1
569,1
570,1
571,1
573,1
579,1
580,1
600,1
602,1
604,1
612,1
616,1
617,1
621,1
631,1
632,1
639,1
641,1
644,3
651,1
667,1
668,1
669,1
674,1
680,2
683,1
687,1
690,1
691,1
692,1
696,1
708,1
710,1
712,1
714,1
715,1
716,1
727,1
729,1
733,1
753,1
754,1
755,1
757,2
761,1
762,1
768,1
774,1
776,1
781,1
792,1
800,1
806,1
810,1
830,1
837,1
839,2
860,1
869,1
877,1
884,1
885,1
898,1
908,1
928,1
938,1
966,1
1019,1
1087,1
1123,1
1124,1
1142,1
1151,1
1154,2
1235,2
1368,1
1400,1
1526,1
1549,1
1726,1
2445,1
2542,1
2993,1
3022,1
3117,1
3325,1
3398,1
3436,1
3763,1
