number of unique users adopting from,number of repos
0,239904
1,10222
2,2487
3,952
4,477
5,280
6,196
7,127
8,94
9,80
10,68
11,52
12,49
13,39
14,29
15,27
16,28
17,27
18,20
19,12
20,16
21,12
22,21
23,11
24,10
25,7
26,10
27,6
28,10
29,14
30,7
31,8
32,4
33,8
34,9
35,4
36,7
37,7
38,5
39,1
40,4
41,7
43,4
44,3
45,7
46,3
47,2
48,1
49,2
50,2
51,1
52,3
53,3
54,4
55,4
56,5
57,4
59,2
60,1
61,2
62,5
63,2
64,2
66,1
67,1
68,1
70,1
71,1
72,5
73,2
74,1
75,2
76,1
78,2
79,2
81,1
83,1
84,2
85,2
86,1
88,1
89,1
90,1
91,1
92,1
94,3
95,1
97,3
98,2
104,1
106,2
109,1
112,1
113,1
117,1
125,1
128,1
130,1
132,1
134,1
137,1
146,1
159,1
163,1
167,1
174,1
180,1
196,1
198,1
204,2
212,1
261,1
262,1
266,1
276,1
282,1
298,1
311,1
351,1
378,1
441,1
557,1
658,1
