session_commit_count,avg_adopt_position
1,1.0
2,1.08
3,1.2439446366782008
4,1.3270392749244713
5,1.725531914893617
6,1.5832167832167832
7,2.5
8,1.9416909620991254
9,2.887966804979253
10,1.9578163771712158
11,3.2442748091603053
12,2.7109634551495017
13,4.202702702702703
14,3.5723684210526314
15,2.9864864864864864
16,3.1026785714285716
17,6.5
18,4.34375
19,2.2209302325581395
20,3.0
21,5.426966292134831
22,6.037037037037037
23,7.40625
24,5.048
25,5.72
26,8.266666666666667
27,6.142857142857143
28,3.9682539682539684
29,9.346153846153847
30,5.318181818181818
31,11.454545454545455
32,7.238095238095238
33,11.571428571428571
34,15.866666666666667
35,8.833333333333334
36,6.608695652173913
37,15.272727272727273
38,9.73913043478261
39,15.3
40,7.264150943396227
41,18.25
42,8.833333333333334
43,18.866666666666667
44,6.5
45,10.5
46,20.615384615384617
47,1.0
48,15.476190476190476
49,5.714285714285714
50,8.5
51,8.590909090909092
52,22.473684210526315
53,11.777777777777779
54,20.22222222222222
55,33.333333333333336
56,16.61904761904762
57,10.68421052631579
58,13.916666666666666
59,22.428571428571427
60,14.333333333333334
61,15.0
62,21.6
63,19.9
64,8.444444444444445
65,29.5
66,12.736842105263158
67,25.333333333333332
68,19.1
69,22.0
70,22.11764705882353
71,18.0
72,21.266666666666666
73,40.0
74,25.25
75,39.333333333333336
76,12.666666666666666
77,36.5
78,16.0
79,37.4
80,14.333333333333334
81,46.42857142857143
82,37.75
83,55.333333333333336
84,8.8
85,41.0
86,28.125
87,40.0
88,30.0
89,26.125
90,14.625
91,43.142857142857146
92,11.0
93,46.0
94,32.4
95,18.0
96,42.25
97,28.0
98,59.0
99,42.78260869565217
100,3.6
101,10.333333333333334
102,41.5
103,5.0
104,37.0
105,45.5
106,74.0
107,51.0
108,10.75
109,50.0
110,40.0
111,28.8
112,26.0
113,61.0
114,35.625
116,51.5
117,1.0
118,28.333333333333332
119,30.333333333333332
120,33.81818181818182
121,110.0
123,49.166666666666664
124,67.28571428571429
125,87.0
126,62.75
128,35.625
130,93.66666666666667
132,5.0
133,45.333333333333336
134,28.8
135,52.0
136,74.2
139,48.666666666666664
140,34.0
141,1.0
142,98.55555555555556
143,1.0
144,1.0
145,1.5
146,85.0
147,1.0
148,1.0
149,127.0
150,73.66666666666667
152,59.5
153,58.5
154,20.0
155,145.66666666666666
156,49.0
157,147.0
158,1.0
159,2.3333333333333335
160,21.0
161,62.42857142857143
164,48.333333333333336
165,34.666666666666664
166,128.0
168,42.333333333333336
169,4.0
170,1.0
171,1.0
176,1.0
178,31.666666666666668
181,110.5
186,80.0
187,1.0
188,1.0
189,43.0
190,1.0
191,94.66666666666667
193,62.0
196,3.3333333333333335
197,120.0
198,65.5
199,101.6
200,1.0
202,74.5
203,93.75
204,83.0
205,79.0
209,1.0
210,1.0
211,102.33333333333333
213,17.0
214,182.0
216,93.0
217,1.0
220,67.75
221,74.5
222,107.0
224,159.66666666666666
225,45.5
226,1.0
227,51.0
228,77.0
232,113.8
233,119.0
235,100.0
236,1.0
240,1.0
241,51.0
242,156.66666666666666
244,155.0
248,112.0
249,190.75
250,125.5
252,144.5
254,1.0
256,1.0
260,1.0
266,101.5
269,110.0
270,109.66666666666667
272,139.0909090909091
274,163.5
284,50.0
288,229.0
293,138.8
297,226.0
299,166.75
304,1.0
312,135.0
314,105.0
320,201.0
321,28.0
325,44.0
326,1.0
327,288.0
328,1.0
333,285.7391304347826
334,192.75
336,94.0
337,200.66666666666666
340,81.0
342,40.0
345,194.66666666666666
346,121.875
347,64.0
363,1.0
365,150.25
367,174.71428571428572
368,145.0
375,128.57142857142858
378,356.0
394,223.25
395,246.0
398,199.0
399,159.5
410,151.5
412,87.0
415,185.33333333333334
429,1.0
430,150.3846153846154
442,100.0
443,47.125
451,200.0
462,277.0
465,1.0
467,356.0
469,277.0
475,1.0
489,181.5
503,1.0
508,209.4
517,457.0
527,41.0
528,204.75
530,277.6923076923077
532,389.6666666666667
543,372.0
552,175.0
559,411.0
562,95.0
571,182.3846153846154
582,210.0
586,260.25
594,394.5
601,144.5
614,585.0
615,278.2105263157895
630,349.3333333333333
661,603.0
663,299.5
667,230.0
686,196.0
697,414.5
723,252.1764705882353
728,182.0
752,24.5
757,661.5
761,313.0
769,332.3333333333333
812,762.0
849,813.0
860,600.6666666666666
882,244.0
901,1.0
913,606.0
961,272.0
971,97.0
1067,952.5
1194,247.0
1289,790.6666666666666
1412,474.125
1423,769.0
1426,657.1428571428571
1471,792.0
1648,1178.6666666666667
1651,1155.0
1681,116.0
1726,479.0
1827,1625.25
1843,500.6666666666667
1948,1470.0
2022,1903.0
2117,1047.7692307692307
2153,815.2
2212,953.5833333333334
2429,984.6206896551724
2449,1620.873015873016
3006,977.5
4080,3321.5
5300,2236.904761904762
8492,2972.7916666666665
9351,4575.433962264151
