number of unique repos interacted with,number of users
1,66279
2,26132
3,17516
4,10453
5,7577
6,5205
7,4508
8,3519
9,2863
10,2283
11,1810
12,1572
13,1379
14,1151
15,998
16,870
17,743
18,673
19,592
20,511
21,471
22,388
23,396
24,331
25,290
26,299
27,275
28,238
29,216
30,208
31,173
32,155
33,159
34,131
35,143
36,106
37,109
38,122
39,92
40,72
41,86
42,71
43,92
44,73
45,76
46,59
47,79
48,97
49,70
50,83
51,68
52,68
53,66
54,50
55,54
56,42
57,35
58,36
59,29
60,23
61,31
62,20
63,21
64,26
65,16
66,18
67,8
68,21
69,13
70,15
71,13
72,7
73,12
74,8
75,10
76,9
77,11
78,7
79,11
80,7
81,15
82,11
83,4
84,7
85,8
86,5
87,10
88,11
89,3
90,10
91,5
92,5
93,13
94,6
95,7
96,3
97,4
98,2
99,4
100,3
101,1
102,5
103,4
104,3
105,2
106,3
108,5
109,4
110,2
111,2
112,8
113,5
114,2
116,1
117,1
118,4
119,2
121,5
122,2
123,3
124,1
125,4
126,1
128,2
129,2
130,2
131,3
132,1
133,1
134,5
135,1
136,1
137,2
138,1
139,2
140,1
141,2
142,4
143,1
144,3
145,1
146,2
148,1
149,1
150,1
151,3
152,2
153,2
154,1
156,2
157,2
158,1
159,1
161,1
163,1
164,2
165,1
169,1
171,1
174,2
176,1
177,1
178,1
179,1
181,1
182,2
184,1
185,1
188,1
190,1
193,1
212,1
214,1
218,1
221,1
226,1
229,1
230,1
231,2
232,1
235,1
237,1
245,1
247,1
256,1
265,1
275,1
280,1
283,3
288,1
293,1
296,1
305,1
306,1
309,1
310,1
311,1
317,1
324,1
327,1
338,1
347,2
349,1
364,1
392,1
420,1
421,1
430,1
431,1
436,2
444,1
450,1
456,4
458,3
459,1
462,1
467,1
468,1
470,1
474,1
475,1
480,3
481,1
485,1
488,1
496,2
497,1
500,2
501,1
505,1
506,1
508,1
509,2
512,1
515,1
522,1
523,1
524,1
530,1
531,1
534,1
551,1
555,1
556,1
562,1
575,1
585,1
626,1
686,1
694,1
1040,1
2155,1
