number of adoption commits,number of users
0,100277
1,18394
2,9488
3,6190
4,4505
5,3224
6,2622
7,2081
8,1764
9,1406
10,1204
11,1050
12,825
13,785
14,702
15,597
16,556
17,468
18,423
19,401
20,325
21,343
22,316
23,252
24,245
25,241
26,198
27,204
28,190
29,184
30,147
31,166
32,145
33,138
34,141
35,110
36,117
37,107
38,102
39,83
40,79
41,71
42,85
43,71
44,82
45,68
46,58
47,50
48,55
49,46
50,48
51,58
52,39
53,45
54,42
55,41
56,43
57,44
58,49
59,34
60,38
61,42
62,33
63,21
64,30
65,28
66,35
67,27
68,30
69,17
70,19
71,26
72,22
73,24
74,23
75,22
76,18
77,18
78,19
79,14
80,14
81,10
82,16
83,13
84,15
85,14
86,13
87,11
88,5
89,14
90,11
91,8
92,14
93,3
94,16
95,8
96,10
97,11
98,11
99,12
100,4
101,8
102,9
103,9
104,8
105,5
106,9
107,7
108,5
109,10
110,8
111,7
112,8
113,6
114,7
115,10
116,2
117,1
118,4
119,6
120,6
121,5
122,4
123,5
124,3
126,2
127,4
128,3
129,3
130,3
131,3
132,2
133,4
134,7
135,4
136,2
138,3
140,5
141,3
142,3
143,4
144,2
145,2
146,2
147,1
148,4
149,4
150,5
151,2
152,3
153,6
154,2
155,5
156,2
157,2
158,2
159,3
160,2
161,1
165,2
166,2
167,3
168,2
170,3
171,3
172,2
173,1
174,5
175,3
180,1
181,1
182,1
183,1
184,2
185,1
186,2
187,1
188,1
190,1
192,1
193,2
195,2
197,1
202,1
203,1
206,1
208,2
209,2
210,1
211,2
213,1
217,2
219,1
220,1
223,1
224,3
225,1
227,1
230,2
232,1
233,1
240,1
241,1
246,1
247,1
249,2
253,2
257,1
261,1
263,1
270,1
272,1
273,1
276,1
277,1
282,1
288,1
304,1
308,1
319,1
320,1
327,1
343,1
345,1
351,1
362,1
363,1
406,1
437,1
448,1
510,1
604,1
616,1
846,1
1067,1
1359,1
